source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'business-insider', 'name': 'Business Insider'}",Peter Kafka,YouTube could be worth $400 billion — that's more than Disney and Comcast combined. We should be paying more attention.,"Sure, TikTok and Netflix are important. But the world's biggest video site, the home of social media sensation MrBeast, is very, very important.",https://www.businessinsider.com/youtube-valuation-mrbeast-how-much-worth-2024-3,https://i.insider.com/66059ac616bde8d4ead323b2?width=1200&format=jpeg,2024-03-28 16:52:10+00:00,"By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy . You can opt-out at any time.

Access your favorite topics in a personalized feed while you're on the go. download the app

Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview

YouTube is the world's largest video platform. It's the world's second-largest search engine. It plays a massive role in culture.

And most of you don't pay nearly enough attention to it. But Wall Street does: Analyst Michael Nathanson has a new note out estimating that YouTube could be worth as much as $400 billion as a stand-alone company.

Reminder: Google bought YouTube for $1.65 billion nearly 20 years ago.

This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now.

Related stories

We could spend time here explaining Nathanson's math and assumptions — he thinks that in 2023, YouTube generated operating profits of $5.5 billion on revenues of $45 billion; he also thinks its future growth will be spurred by subscription services like YouTube TV, as its advertising growth slows.

Advertisement

But let's be honest. Those numbers aren't going to sink for many of you. Just like YouTube's massive size doesn't seem to register with politicians like the ones on the US Senate Judiciary Committee, who hosted a big hearing on ""Big Tech and the Online Child Sexual Exploitation Crisis"" in January and grilled the CEOs of Meta, Snap, TikTok, and platforms — and gave YouTube a pass.

The CEOs of Discord, Snap, TikTok, Twitter, and Meta at a January 2024 Senate Judiciary Committee hearing. Not pictured, because he didn't attend: the CEO of YouTube. ANDREW CABALLERO-REYNOLDS

So let's try this argument: You know how people like me spend a lot of time tracking who's ""winning"" the streaming wars?

Line up YouTube next to all the big players, and you'll realize, like my colleague Lucia Moses pointed out last month, that it's ridiculous to have a streaming wars conversation without talking about YouTube.

For instance: If you took Netflix ($261 billion market cap) and added in Paramount ($8 billion), Warner Bros Discovery ($21 billion), and Fox ($14 billion), you'd have a company with a combined value of … about $300 billion. Throw in a Roku ($10 billion) if you want. You're still not getting close to the $375 billion to $400 billion value Nathanson is talking about.

Advertisement

Or, alternately: You could combine Comcast ($172 billion) and Disney ($224 billion, after a big ramp-up this year — Nelson Peltz, your services are no longer needed) and end up with a $396 billion company. (You would also get to watch a funny wrestling match between Disney CEO Bob Iger and Comcast CEO Brian Roberts who have a long-standing enmity.)

But those two companies aren't solely reliant on media to make their money — Disney is also selling cruises and theme park passes; Comcast is one of the biggest broadband providers in the US.

So if you're talking about video, and the internet, and advertising and audience and value and you're not talking about YouTube? You're doing it wrong."
"{'id': 'business-insider', 'name': 'Business Insider'}",Mikhaila Friel,An executive on '3 Body Problem' who murdered the Netflix show's producer practiced by poisoning cats and dogs: report,"Former Yoozoo Games executive Xu Yao poisoned cats and dogs for practice before killing his boss, Caixin reported.",https://www.businessinsider.com/3-body-problem-executive-practiced-poisoning-pets-killed-boss-report-2024-4,https://i.insider.com/660bef4f3f923f7dab036ec1?width=1200&format=jpeg,2024-04-02 12:05:24+00:00,"Former Yoozoo Games executive Xu Yao received a death sentence for murdering his boss.

Lin Qi died in 2020 after ingesting poison, The New York Times reported.

Xu was inspired by ""Breaking Bad"" and poisoned animals for practice, Caixin reported.

NEW LOOK Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview Thanks for signing up! Access your favorite topics in a personalized feed while you're on the go. download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy . You can opt-out at any time.

Advertisement

An executive who worked on Netflix's ""3 Body Problem"" practiced killing cats and dogs before fatally poisoning his boss, the Chinese outlet Caixin reported.

The New York Times reported that Xu Yao, a former Yoozoo Games executive, was given a death sentence on March 22 after fatally poisoning the company's founder Lin Qi, dubbed China's ""billionaire millennial,"" in 2020.

Lin had a net worth of around 6.8 billion yuan ($940m) when he died, per the Hurun China Rich List.

Yoozoo Games owns the rights to the Chinese-language sci-fi series, ""3 Body Problem,"" which made its Netflix debut in March. The show is based on Liu Cixin's award-winning ""Remembrance of Earth's Past"" book trilogy.

Advertisement

Wade, Jin Cheng, and Sophon in ""3 Body problem."" Ed Miller/Netflix

Xu, who joined Yoozoo Games in 2017, killed Lin due to a ""dispute over running the business,"" according to a statement by Shanghai First Intermediate People's Court, cited by the Associated Press.

Related stories

The dispute was after Xu got demoted and received a pay cut due to poor performance, according to the Caixin report cited by The Times.

Xu reportedly plotted Lin's murder in retaliation. He built a lab near Shanghai and experimented with hundreds of poisons from the dark web — often by testing them on pet animals, including cats and dogs — according to Caixin.

Caixin reported that Xu was inspired by the series ""Breaking Bad,"" about a high school teacher diagnosed with lung cancer who begins to make and sell methamphetamine.

Advertisement

The court said four other employees fell ill, but were not killed, after Xu poisoned beverages in the office between September and December 2020 due to grievances he had with two of them, AP reported.

Chinese media named one of the employees poisoned as Zhao Jilong, VP of the company's film division, Variety reported in 2021.

Zhao may have been targeted due to jealousy over his involvement with the company's deal with Netflix. Lin and Zhao were both named as executive producers of ""3 Body Problem"" in the official announcement, while Xu was left uncredited, Variety reported.

Writing on his WeChat account after Xu's sentencing, Zhao said: ""Justice has been served,"" according to Chinese state media cited by The Times.

Advertisement

Representatives for Yoozoo Games and Netflix did not immediately respond to requests for comment."
"{'id': 'newsweek', 'name': 'Newsweek'}",James Crawford-Smith,Meghan Markle's Best Curtsies Caught on Camera,The duchess faced a curtsy controversy following the release of her Netflix docuseries in December 2022.,https://www.newsweek.com/meghan-markle-best-curtsies-viral-1887213,https://d.newsweek.com/en/full/2373851/meghan-markle-curtsy.png,2024-04-05 10:30:15+00:00,"The Duchess of Sussex's best curtsy moments have become the focus of a new viral social-media post, as images from high-profile royal events have won praise from fans on TikTok.

Meghan became embroiled in a curtsy controversy in 2022 after she performed a dramatic version of the reverential gesture in her Netflix docuseries, Harry & Meghan, which saw her accused of mocking the tradition.

The movement is traditionally offered in Britain by female members of the royal family and court to the monarch as a mark of respect. It comprises a short bend to the knee and a bowing of the head. Curtsies are offered twice each day, once when first greeting the king and queen and then once again when saying goodbye.

Several members of the royal family have been praised by fans for their curtsies over the years, including Princess Diana, Princess Kate, Princess Charlotte and Meghan.

Main picture: The Duchess of Sussex smiles in London, July 14, 2019. And (inset) curtsies at Queen Elizabeth II's lying-in-state ceremony at Westminster Hall, London, September 14, 2022. The duchess' curtsies have been praised online. Main picture: The Duchess of Sussex smiles in London, July 14, 2019. And (inset) curtsies at Queen Elizabeth II's lying-in-state ceremony at Westminster Hall, London, September 14, 2022. The duchess' curtsies have been praised online. Max Mumby/Indigo/Getty Images/ALKIS KONSTANTINIDIS/POOL/AFP via Getty Images

Uploaded to TikTok by user @itsmeren026 on April 2, a post containing three striking images of Meghan performing curtsies to Queen Elizabeth II has gone viral, gaining over 331,000 views on the platform so far.

The first image shown was taken after Queen Elizabeth's death in September 2022, where Meghan joined senior members of the royal family to pay their respects at the monarch's lying-in-state ceremony at Westminster Hall in London. The royals each offered solemn bows and curtsies to the queen's coffin at the end of the event, with Meghan's deep offering caught on camera.

The second and third images of the post were captured on Christmas Day in 2017 and 2018. Meghan became the first royal fiancée to receive an invite to spend Christmas Day with Queen Elizabeth and her family in 2017, prior to her wedding to Prince Harry.

At St. Mary Magdalene Church on the Sandringham estate in Norfolk, England, Meghan was photographed curtsying to the queen as she left morning service. This was repeated the following year.

Captioned ""Curtsy from Meghan, Duchess of Sussex,"" the viral post has received in excess of 19,000 likes and almost 500 comments, many of which have praised the royal with others referencing her Netflix curtsy controversy.

""She acted more elegantly than anyone. She has the same energy as Diana. I can feel it,"" wrote one TikTok user.

""The 1st curtsy is everything. Cause I would have fell straight on my face with those heels,"" posted another, with a further comment reading: ""I just remember the Netflix when she made fun of this.""

James Crawford-Smith is Newsweek's royal reporter, based in London. You can find him on X (formerly Twitter) at @jrcrawfordsmith and read his stories on Newsweek's The Royals Facebook page.

Do you have a question about King Charles III, William and Kate, Meghan and Harry, or their family that you would like our experienced royal correspondents to answer? Email royals@newsweek.com. We'd love to hear from you."
"{'id': 'business-insider', 'name': 'Business Insider'}",aadekaiyero@insider.com (Ayomikun Adekaiyero),Where Prince Andrew is now as Netflix releases 'Scoop' film about his infamous Jeffrey Epstein 'Newsnight' interview,Netflix has released a film about an infamous interview where Prince Andrew defended his relationship with sex offender Jeffrey Epstein.,https://www.businessinsider.com/prince-andrew-film-netflix-newsnight-interview-jeffrey-epstein-ghislaine-maxwell-2024-4,https://i.insider.com/660fe6e83f923f7dab04f177?width=1200&format=jpeg,2024-04-05 13:02:59+00:00,"Netflix's new film, ""Scoop,"" dramatizes Prince Andrew's controversial BBC ""Newsnight"" interview from 2019.

In the interview, Queen Elizabeth II's son defends his relationship with Jeffrey Epstein.

Here's where Prince Andrew is now.

NEW LOOK Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview Thanks for signing up! Access your favorite topics in a personalized feed while you're on the go. download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy . You can opt-out at any time.

Advertisement

Netflix's latest film, ""Scoop,"" dramatizes Prince Andrew's infamous TV interview where he tried to defend his friendship with late sex offender and disgraced financier Jeffrey Epstein.

In November 2019, the BBC interviewed the prince about his relationship with Epstein, who died by suicide in a jail cell after being charged with sex trafficking dozens of minors.

Speculation about the pair's friendship intensified after Prince Andrew was named in an unsealed document related to a defamation lawsuit filed against Epstein's former girlfriend, Ghislaine Maxwell. Virginia Roberts Giuffre, an alleged victim of Epstein who filed the lawsuit in 2015, claimed in the document that Maxwell and Epstein forced her to have sex with Prince Andrew on three occasions, the first time when she was 17.

Prince Andrew denied the claims in August 2019 in a statement released by Buckingham Palace after the documents were unsealed. Still, three months later, the prince agreed to an hourlong interview with Emily Maitlis, a former anchor for the BBC's flagship daily current affairs show ""Newsnight,"" to address the allegations made against him.

Advertisement

The British press branded the interview a ""car crash"" due to what were perceived as Prince Andrew's bizarre responses, which are depicted word for word in ""Scoop.""

Rufus Sewell as Prince Andrew and Gillian Anderson as Emily Maitlis in ""Scoop."" Peter Mountain/Netflix

These included the prince saying he had no recollection of meeting Giuffre and suggested a photo of him with Maxwell and Giuffre could have been doctored.

When asked what he was doing on March 10, 2001, the night Giufrre alleged the prince had sex with her for the first time, Prince Andrew said he took his daughter, Princess Beatrice, to a party at popular UK restaurant chain Pizza Express in the suburban town of Woking near London. Maitlis pointed out it was unusual that the prince remembered that particular occasion ""so specifically.""

Prince Andrew also said he had a medical condition that prevented him from sweating in response to Guiffre's claim that the prince was ""profusely sweating"" during their first encounter.

Advertisement

At the end of ""Scoop,"" ""Newsnight"" editor Esme Wren (played by Romolo Garai) tells her colleagues that Prince Andrew had stepped down from his royal duties following the backlash over the interview, which happened in real life.

A title card before the credits said Prince Andrew was stripped of his royal titles and paid £12 million ($16.3 million) to Giuffre in 2022 to settle a lawsuit she brought against him.

Related stories

Here's what happened to Prince Andrew after the disastrous interview and what he is doing now.

Giuffre sued Prince Andrew in 2021, leading him to lose his royal title.

Virginia Roberts holds a photo of herself at age 16, when she says Jeffrey Epstein began abusing her sexually. Emily Michot/Miami Herald/Tribune News Service via Getty Images

On November 20, 2019, four days after the ""Newsnight"" interview aired, Prince Andrew announced that would be stepping away from his public royal duties.

Advertisement

""It has become clear to me over the last few days that the circumstances relating to my former association with Jeffrey Epstein has become a major disruption to my family's work and the valuable work going on in the many organizations and charities that I am proud to support,"" the statement read.

Referring to Queen Elizabeth II, who died in 2022, it went on: ""Therefore, I have asked Her Majesty if I may step back from public duties for the foreseeable future, and she has given her permission.""

He added: ""I continue to unequivocally regret my ill-judged association with Jeffrey Epstein. His suicide has left many unanswered questions, particularly for his victims, and I deeply sympathize with everyone who has been affected and wants some form of closure. I can only hope that, in time, they will be able to rebuild their lives. Of course, I am willing to help any appropriate law enforcement agency with their investigations, if required.""

But Prince Andrew's troubles did not end there. In August 2021, Giuffre sued the prince, accusing him of sexual assault. The prince denied the allegations.

Advertisement

After an unsuccessful attempt to dismiss the lawsuit, Queen Elizabeth stripped her son of his royal and military titles in January 2022, including ""His Royal Highness.""

A spokesperson for Buckingham Palace said in a statement sent to Business Insider in January 2022: ""With The Queen's approval and agreement, The Duke of York's military affiliations and Royal patronages have been returned to The Queen. The Duke of York will continue not to undertake any public duties and is defending this case as a private citizen.""

Prince Andrew settled the lawsuit a month after losing his royal titles.

The royal family at the Trooping of the Colour 2019. Samir Hussein/WireImage/Getty Images

Prince Andrew and Giuffre reached a settlement in February 2022, Business Insider previously reported. In a statement attached to the settlement, Prince Andrew denied but agreed to donate an undisclosed sum to Giuffre's nonprofit to support victims of trafficking.

The Daily Telegraph, citing anonymous sources, reported in February 2022 that Prince Andrew paid around $16 million to Giuffre's non-profits as part of the settlement and would use funds given to him by the Queen.

Advertisement

Prince Andrew may be staging a comeback.

Prince Andrew attending Easter Sunday service at St. George's Chapel on March 31, 2024. JUSTIN TALLIS/Getty Images

Prince Andrew made his first public appearance after settling the lawsuit in March 2022 when he escorted Queen Elizabeth to a televised memorial service for her late husband, Prince Philip. However, his public appearances in the following years have been limited.

Last year, Prince Andrew attended the coronation of his brother, King Charles in May, but he missed the monarch's birthday parade and the royal family's remembrance day service.

Royal commentator Victoria Arbiter told Business Insider in January that the prince's ""public life"" was over.

But, in April, another royal commentator, Kristen Meinzer, told Business Insider that Prince Andrew could be staging a comeback after his appearances at the Royal Easter church service last week and King Constantine of Greece'se memorial service in February.

Advertisement

However, the release of ""Scoop"" and other documentaries about Prince Andrew means the public is unlikely to forget the 2019 scandal.

A representative for Prince Andrew did not respond to a comment request from Business Insider."
"{'id': 'fortune', 'name': 'Fortune'}",Paolo Confino,"The few times I’ve done investing, I’ve lost my shirt’: Reed Hastings opens up on his investing track record","Netflix cofounder and executive chair Reed Hastings has mixed results as an investor. ""The few times I’ve done investing, I’ve lost my shirt.”",https://fortune.com/2024/04/05/reed-hastings-index-funds-netflix-investor-stock-market-mutual-funds/,"https://fortune.com/img-assets/wp-content/uploads/2024/04/GettyImages-1235968427-e1712343797677.jpg?resize=1200,600",2024-04-05 19:38:08+00:00,"Netflix cofounder and executive chair Reed Hastings is a billionaire but admits he has trouble figuring out what to do with his money.

“The few times I’ve done investing, I’ve lost my shirt,” he said in an interview on podcast The Tim Ferriss Show.

Hastings, who has an estimated net worth around $6 billion, chalked up his poor track record to his demeanor, which he said isn’t ultimately well-suited to the world of investing.

“I realize I’m just so optimistic,” Hastings said. “Anybody who seems to have a good idea, I’m like, ‘Sure!’”

Hastings moved away from taking a more active hand in his investments when he realized his optimism meant he wasn’t wired the same way the best investors are. “It’s a different DNA than [what] differentially good investors have,” he noted.

Hastings said he’s learned his lesson and now relies on funds that keep pace with the market instead of trying to beat it, as well as his stake in the streamer he founded. “I’m a pure index-fund investor. I’m Netflix plus index funds,” he said.

According to SEC filings, Hastings owns about 3 million shares of Netflix stock valued around $1.9 billion at the time of publication.

One recent notable exception has been Hastings’s investment in Powder Mountain, which Fortune previously reported on. He bought the ski resort after the first group of investors failed to make good on their idea of turning it into the Burning Man of the slopes.

Otherwise, Hastings seems to have a rather traditional investment strategy of relying on index funds and company-granted stock options.

Index funds are safe investments in uncertain times

Index funds are investments that track a given benchmark, like the S&P 500 or the Dow Jones industrial average. They’re generally considered a safe way for investors to have their investments grow at the rate the market does. As Hastings’s remarks show, it can be very difficult for even the savviest person to beat the market.

Investors often put their money in index funds because they have a record of outperforming actively managed funds, where an expert picks what to invest in. A study from 2022 found that out of 2,132 actively managed mutual funds, not a single one outperformed its benchmark index. That’s been a consistent trend for years now among funds; 2023 marked the 14th consecutive year the majority of actively managed large-cap stock funds, which invest in companies with high market capitalizations, performed worse than the S&P 500.

That might explain why index funds have become so popular, even among institutional investors this year when economic forecasts are somewhat nebulous. There’s been chatter of a recession for almost two years now; the Fed still hasn’t offered firm commitments about interest rates; and who knows if the unemployment rate will remain steady? Meanwhile, markets are rallying, but many investors are unsure if gains will continue, while others are convinced they won’t.

Despite all those unknowns, the S&P 500—one of the most common benchmarks for index funds—has been up 27% over the past 12 months. Much of the S&P 500’s growth was powered by tech stocks, including Netflix. But there are indications it could start to broaden to other sectors, which would bolster investors’ portfolios.

Index funds’ critics say they concentrate too much power in too few people

The rise of index funds, first started by Vanguard in 1975, elevated a new type of finance executive, like BlackRock CEO Larry Fink. BlackRock, for example, manages $4.9 trillion dollars in its index funds, making it one of the major asset managers worldwide.

Index funds have also prompted a more theoretical debate over the structures of the market. Some contend that their effectiveness is proof of concept for “market socialism” because index funds feature common ownership of collective assets. Bloomberg opinion writer Matt Levine, who has covered index funds extensively, disputes the idea on the grounds that just because an index fund allows its investors to have collective ownership of a company, it doesn’t require they all own the same amount.

Another issue at the heart of the dispute over index funds is who exactly manages them. Supporters say that because they are passively managed without a portfolio manager or investment professional they cut out financial middlemen, reducing fees for everyday investors. Most index funds have fees, called expense ratios, that are below 1%. Still, critics say they’ve concentrated power in the hands of just a few companies—BlackRock and Vanguard among them. In a 2018 paper, Harvard law professor John Coates argued that only 12 people would ultimately make all the investment decisions regarding index funds. An analyst from Morningstar acknowledged that might be the case, but it hurts middlemen not retail investors. “Indexing has most substantially affected the financial-advice industry,” the analyst wrote.

Regardless of what happens to the index fund industry or to his specific investments in them, Hastings can always fall back on his Netflix shares. The stock is already up 35% this year, increasing Hastings’s net worth by about $496 million."
"{'id': 'newsweek', 'name': 'Newsweek'}",Jane LaCroix,Love Is Blind's Chelsea Blackwell Shares Before and After Weight Loss Photos,The Netflix reality star posted shocking weight loss photos on her Instagram.,https://www.newsweek.com/chelsea-blackwell-weight-loss-photos-before-after-1887542,https://d.newsweek.com/en/full/2331281/love-blind-image.jpg,2024-04-05 20:34:28+00:00,"Entertainment gossip and news from Newsweek's network of contributors

Love Is Blind's season 6 alum Chelsea Blackwell is taking her followers along on her weight loss journey, recently showing off her transformation with a set of before and after photos on her Instagram stories.

Wearing a sports bra and leggings, Blackwell revealed the striking changes not only in her appearance but in how she feels as well: ""Before & after, absolutely insane the difference in how I look and how I feel,"" the 31-year-old captioned the story.

Blackwell has been candid about her approach to getting in shape, emphasizing that she doesn't push herself too hard at the gym or restrict her diet excessively. However, the Netflix celeb has adopted a few key practices that she attributes to her success. ""I stand by 'I love my body'... I've never been a small girl my entire life and I'm OK with that. I love her. She's healthy and she's strong,"" Chelsea noted in a TikTok video, highlighting that her journey began from a desire to feel healthy and strong again.

A production image from Netflix's 'Love Is Blind.' A production image from Netflix's 'Love Is Blind.' Courtesy of Netflix

Among the changes she's made, Blackwell mentioned practicing intermittent fasting and maintaining a diet rich in protein, fruits, and vegetables. Additionally, she aims to drink 90 ounces of water a day and commits to 45-minute walks.

""I feel better. I feel like my skin feels better. I look better,"" she said in the TikTok, reflecting on the positive impacts of these lifestyle adjustments. ""And I'm able to deliver my best possible self to everyone else around me.""

A screenshot of 'Love Is Blind' season 6 alum Chelsea Blackwell's Instagram story showing a before and after photo of her weight loss journey. A screenshot of 'Love Is Blind' season 6 alum Chelsea Blackwell's Instagram story showing a before and after photo of her weight loss journey. Chelsea Blackwell/Instagram

Blackwell found love with Jimmy Presnell on season 6 of the popular Netflix show. Their journey together was marked by plenty of ups and downs, and the couple called it quits before they could make it down the aisle.

In a conversation with ET following the airing of the tumultuous new season, Blackwell reflected on her portrayal in the series: ""It's hard to see it, but there's also so much that wasn't shown... I felt the way I felt for a reason, and unfortunately that doesn't show."""
"{'id': 'business-insider', 'name': 'Business Insider'}",Theron Mohamed,"Here are 5 secrets of Netflix's success, according to Reed Hastings","Netflix shells out big bucks for top talent, demands excellence from workers and ruthlessly gets rid of merely adequate performers, says Reed Hastings.",https://www.businessinsider.com/netflix-reed-hastings-company-culture-big-tech-severance-candor-performance-2024-4,https://i.insider.com/66101cd13f923f7dab05070a?width=1200&format=jpeg,2024-04-06 10:48:01+00:00,"Netflix shells out for top talent but also demands excellence from its workforce.

Cofounder Reed Hastings discussed five aspects of Netflix's corporate culture on a recent podcast.

Netflix is a team not a family, gets rid of merely adequate performers, and hunts down references.

NEW LOOK Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview Thanks for signing up! Access your favorite topics in a personalized feed while you're on the go. download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy . You can opt-out at any time.

Advertisement

Netflix is known for paying top dollar to secure the best employees — and demanding a huge amount from its workers.

Reed Hastings, the streaming giant's cofounder and executive chair, walked through five key elements of Netflix's corporate culture on the latest episode of ""The Tim Ferriss Show.""

The tech billionaire, who stepped down as Netflix's joint CEO early last year, discussed having sky-high standards, finding and removing merely adequate performers, chasing down references, and insisting people speak up.

Here are the five topics he tackled:

Advertisement

1. Team, not family

Netflix is run like a top-tier sports team that aims to fill each position with the best person who's also a team player, Hastings said.

Stacking its roster with exceptional performers maximizes Netflix's chance of success and also motivates, educates, and draws in even more talent.

It's ""the energy driver because everyone around you is amazing, you learn so much, you attract other amazing people,"" Hastings said.

2. Goodbye gift

Netflix strives to root out mediocrity, but marries its Darwinian demand for excellence with some degree of humanity.

Advertisement

""The reward for adequate performance is a generous severance package,"" Hastings said.

""We want people to feel like, 'I'm trying really hard and I'm gonna give my all and if it doesn't work out, I've got a parachute.'""

Netflix offers a minimum of four months' severance in the US and above-average packages in other countries. The policy makes it less wrenching for bosses to cull so-so performers.

Related stories

""The fact that there's a big severance package makes it easier for the manager to cut that person and try to find someone else who will be a rock star in that role,"" Hastings said.

Advertisement

3. Hunting down references

Netflix makes sure to recruit the best by not just calling the references they provide, but also finding other people who know the potential hire.

Hastings usually starts with a LinkedIn search for mutual connections who are closer to him than the prospective employee so they're more likely to be upfront with him. He likes to speak with them using video chat for one big reason.

""When someone's on Zoom they're much less likely to lie to me,"" he said. ""I can ask a couple questions and they don't feel like it's being recorded and so it creates an appropriate intimacy but also a semi-anonymity.""

4. Keeping or letting go

Netflix encourages its managers to take the ""keeper test"" once every quarter or so, Hastings said.

Advertisement

For each of their reports, managers ask themselves if the person was quitting to work somewhere else, would they try to change the individual's mind and fight to keep them, or be fine with them departing.

""If we wouldn't fight to keep someone, we should proactively give them a generous severance package and try to find someone that we might well fight to keep,"" Hastings said.

5. Open and honest

""To disagree silently is disloyal,"" Hastings said.

He explained that most people are brought up to be polite and agreeable, and mostly aim to please their manager and defer to their decisions.

Advertisement

But when a worker sees the company is doing something wrong, holding their tongue to avoid confrontation or angering the higher ups can lead to bigger, more entrenched problems and stall the forward progress of the business.

Netflix tries to avoid that issue by encouraging ""radical candor"" across its workforce, and pushing bosses to ""farm for dissent"" or seek out opposing views to their own.

""Sometimes if to help them grow I've got to be willing to argue with my manager, then that's okay,"" Hastings said."
"{'id': 'business-insider', 'name': 'Business Insider'}",cmanley@businessinsider.com (Cameron Manley),"Prince Andrew appeared relaxed and enjoying himself after 'Scoop,' the Netflix drama about his relationship with Jeffrey Epstein, airs","Prince Andrew is facing renewed attention after the release of the new Netflix film ""Scoop.""",https://www.businessinsider.com/prince-andrew-near-miss-with-dog-following-netflix-drama-2024-4,https://i.insider.com/6612b3d21caec1275a6d8e59?width=1200&format=jpeg,2024-04-07 16:19:00+00:00,"Prince Andrew appeared to be enjoying himself a day after Netflix drama, ""Scoop,"" premiered.

He was seen horse riding near the Crown estate at Windsor.

""Scoop,"" starring Rufus Sewell and Gillian Anderson, tracks Andrew's infamous Newsnight interview.

NEW LOOK Sign up to get the inside scoop on today’s biggest stories in markets, tech, and business — delivered daily. Read preview Thanks for signing up! Access your favorite topics in a personalized feed while you're on the go. download the app Email address Sign up By clicking “Sign Up”, you accept our Terms of Service and Privacy Policy . You can opt-out at any time.

Advertisement

Prince Andrew smiled and waved to onlookers as he rode a black horse with a female companion just a day after the new drama, ""Scoop,"" about his car-crash BBC Newsnight interview, aired on Netflix.

The Duke of York was later photographed on Friday looking relaxed in his black Range Rover driving down the Long Walk on the Windsor estate when he nearly ran over a dog. A passer-by's dog ran in front of the 4×4 as pedestrians alerted the Duke to the hazard, who appeared to laugh.

This story is available exclusively to Business Insider subscribers. Become an Insider and start reading now. Have an account? Log in ."
"{'id': 'financial-post', 'name': 'Financial Post'}",Bloomberg News,"Netflix Founder, Ex-Alphabet CEO Back African Solar Irrigation Startup","Reed Hastings, the co-founder of Netflix Inc. and Eric Schmidt, the former chief executive officer of Alphabet Inc., through his foundation, took part in a funding round for an African solar irrigation startup.",https://financialpost.com/pmn/business-pmn/netflix-founder-ex-alphabet-ceo-back-african-solar-irrigation-startup,https://smartcdn.gprod.postmedia.digital/financialpost/wp-content/uploads/2024/04/775725926.jpg,2024-04-10 05:59:40+00:00,"Reed Hastings, the co-founder of Netflix Inc. and Eric Schmidt, the former chief executive officer of Alphabet Inc., through his foundation, took part in a funding round for an African solar irrigation startup.

The two billionaires are among investors who have invested $27 million in Nairobi, Kenya based SunCulture alongside others such as InfraCo Africa Ltd. and Acumen Fund Inc., the startup said.

We apologize, but this video has failed to load.

(Bloomberg) — Reed Hastings, the co-founder of Netflix Inc. and Eric Schmidt, the former chief executive officer of Alphabet Inc., through his foundation, took part in a funding round for an African solar irrigation startup.

This advertisement has not loaded yet, but your article continues below.

Create an account or sign in to continue with your reading experience.

Subscribe now to read the latest news in your city and across Canada.

Subscribe now to read the latest news in your city and across Canada.

Article content

The company supplies small solar powered water pumps, the cost of which is subsidized by the sale of carbon credits, to small-scale farmers, allowing them to replace diesel-powered pumps in some cases and boost yields in fields that weren’t previously irrigated.

SunCulture operates in Kenya, Uganda and Ivory Coast and has distribution agreements in Ethiopia, Zambia and Togo.

“SunCulture helps farmers grow more food, which is exactly the kind of business that prospers,” Hastings said in comments supplied by the irrigation company.

The startup estimates that of the 700 million Africans living on small-holder farms only 4% have access to irrigation, meaning that they have significantly lower yields and are vulnerable to dry weather.

The company has sold 47,000 units, powered by solar panels that can be mounted on small buildings or shacks and in some cases batteries. They use as little as 310 watts of power, equivalent to that needed for about five standard size incandescent light bulbs.

“We’re the largest small-holder solar irrigation company in Africa. We use financial services and carbon revenues to make the cost of solar irrigation 50% cheaper than diesel and petrol pumps,” said Samir Ibrahim, SunCulture’s chief executive officer. “Irrigation is just like old very unsexy technology but it could increase your yields by up to five times.”"
"{'id': 'cnn', 'name': 'CNN'}",Lisa Respers France,"Meghan, Duchess of Sussex, and Prince Harry have two new Netflix shows in production | CNN","Meghan, Duchess of Sussex, and Prince Harry have two new Netflix shows in production | CNNcnn.com",https://www.cnn.com/2024/04/11/entertainment/meghan-prince-harry-new-netflix/index.html,"https://media.cnn.com/api/v1/images/stellar/prod/ap23283666093998-copy.jpg?c=16x9&q=w_800,c_fill",2024-04-11 21:47:52+00:00,"CNN —

Meghan, Duchess of Sussex, and Prince Harry are continuing their work with Netflix.

The streaming giant confirmed to CNN on Thursday that the couple’s Archewell Productions has two new nonfiction series in production at Netflix as part of a multi-year overall deal signed in 2020.

The news was first reported by Deadline.

The first series will be curated by Meghan and “will celebrate the joys of cooking & gardening, entertaining, and friendship” according to Netflix.

It comes on the heels of the announcement of another new business venture of hers, an apparent lifestyle brand named the American Riviera Orchard.

The second new series is, according to Netflix, “shot primarily at the US Open Polo Championship in Wellington, Florida, will provide viewers unprecedented access to the world of professional polo.”

Both shows are in early stages of production and their titles and release dates will be released at a later date.

Netflix has already worked with the couple on three other nonfiction series, including “Harry & Meghan” which peeled back the curtain on their relationship with the royal family and their move to the US after they stepped down from their royal duties.

The company also produced for the streaming giant “Live To Lead,” an interview series featuring world leaders, and the “Heart of Invictus,” a documentary series about the event and organization whose founding patron is Prince Harry."
